Date;Machine;Bird ID;Mass Tissue;OB Chamber;Baseline;Oligo;CCCP;AA;Routine;OxPhos;Leak;ETS;FCR1;FCR2;FCR3;Routine/mg;OxPhops/mg;Leak/mg;ETS/mg;AA/mg;Batch 
15.05.023;P2;CS39601;13,99;A;29,9536;19,0313;40,4208;5,0474;24,9062;10,9223;13,9839;35,3734;0,561462608;0,395322474;0,704094037;1,780285919;0,780721944;0,999563974;2,528477484;0,360786276;1
15.05.023;P2;CS39602;10,92;B;22,87;16,7772;32,4065;4,9449;17,9251;6,0928;11,8323;27,4616;0,660096736;0,430867102;0,652733271;1,641492674;0,557948718;1,083543956;2,514798535;0,45282967;1
15.05.023;P1;CS39603;11,04;A;23,5823;15,4733;25,8991;5,2129;18,3694;8,109;10,2604;20,6862;0,558559343;0,496002166;0,88800263;1,663894928;0,73451087;0,929384058;1,87375;0,472182971;1
15.05.023;P1;CS39604;12,78;B;40,4861;24,1945;57,7931;7,6822;32,8039;16,2916;16,5123;50,1109;0,503363929;0,329515135;0,654626039;2,566815336;1,274773083;1,292042254;3,921040689;0,601111111;1
15.05.023;P2;TRA2;27,3;A;5,7094;5,2129;6,6196;3,8063;1,9031;0,4965;1,4066;2,8133;0,739109873;0,499982227;0,676465361;0,069710623;0,018186813;0,05152381;0,103051282;0,139424908;1
15.05.023;P2;TRA4;10,37;B;19,8678;13,9516;29,1394;6,1811;13,6867;5,9162;7,7705;22,9583;0,567740946;0,338461471;0,596154768;1,319836066;0,57051109;0,749324976;2,21391514;0,596055931;1
15.05.023;P1;TRA1;14,87;A;10,3431;3,5994;10,8396;2,1514;8,1917;6,7437;1,448;8,6882;0,176764286;0,16666283;0,942853525;0,550887693;0,453510424;0,09737727;0,584277068;0,144680565;1
15.05.023;P1;TRA3;10,53;B;17,1746;12,7154;24,1062;6,3577;10,8169;4,4592;6,3577;17,7485;0,587756196;0,358210553;0,60945432;1,027245964;0,423475783;0,60377018;1,685517569;0,60377018;1
17.05.23;P2;T18;18,01;A;13,7357;10,1777;20,769;5,7922;7,9435;3,558;4,3855;14,9768;0,552086612;0,292819561;0,530386999;0,441060522;0,197556913;0,243503609;0,831582454;0,321610217;1
17.05.23;P2;T24;25,8;B;4,4151;2,4724;2,8257;0,9713;3,4438;1,9427;1,5011;1,8544;0,435884778;0,809480155;1,857096635;0,13348062;0,07529845;0,058182171;0,071875969;0,037647287;1
17.05.23;P1;T71;25,19;B;4,3268;3,7087;4,5475;1,1479;3,1789;0,6181;2,5608;3,3996;0,805561672;0,75326509;0,935080598;0,126196904;0,024537515;0,101659389;0,134958317;0,045569671;1
17.05.23;P1;T56;11,2;A;17,4592;12,66;22,3412;6,2059;11,2533;4,7992;6,4541;16,1353;0,573529542;0,39999876;0,697433577;1,004758929;0,4285;0,576258929;1,440651786;0,554098214;1
18.05.23;P2;CS39606;1,33;A;25,7337;22,7549;31,0294;3,8063;21,9274;2,9788;18,9486;27,2231;0,864151701;0,696048576;0,805470354;16,48676692;2,239699248;14,24706767;20,46849624;2,861879699;1
18.05.23;P2;CS39607;12,2;B;34,8791;20,2211;47,3297;5,2098;29,6693;14,658;15,0113;42,1199;0,505953966;0,356394483;0,704401008;2,431909836;1,20147541;1,230434426;3,45245082;0,427032787;1
18.05.23;P1;CS39608;2,28;A;33,0153;20,2726;42,4483;4,22;28,7953;12,7427;16,0526;38,2283;0,557472921;0,419914043;0,753245632;12,62951754;5,588903509;7,040614035;16,76679825;1,850877193;1
