Sample ;Protein_Conc
C4A1909;1,946633612
C4A1962;3,055991344
C4A1934;4,228157966
C4A1917;3,694617257
C4A1915;3,306735191
C4A1958 ;3,772518258
C4A1921;4,935758723
C4A1961;3,247497971
C4A1955;2,270895321
C4A1966;3,028807141
C4A1965;6,399242629
C4A1951;3,872328915
C4A1936;3,779010008
C4A1925;7,028536651
C4A1906;4,426562077
C4A1932;3,991614823
C4A1920;6,125371923
C4A1927;6,813903165
C4A1947;3,852447931
C4A1918;6,299837706
C4A1957;4,131593184
C4A1926;4,360427374
C4A1903;6,421152286
C4A1911;4,559642954
C4A1952;2,594859081
C4A1935;6,025967
C4A1904;6,789559102
C4A1929;7,994184474
C4A1946;6,294968894
C4A1931;7,257370841
C4A1908;2,837706248
C4A1914;2,444154489
C4A1938;3,94130376
C4A1940;7,328374358
C4A1945;18,02921288
C4A1944;10,45009467
C4A1924;9,853665134
C4A1963;5,018122802
C4A1956;4,982823911
C4A1913;6,510819583
C4A1939;5,397484447
C4A1905;4,556397079
C4A1094;2,846555324
C4A1047;3,057614282
C4A1051;5,915201515
C4A1013;3,260481471
C4A1072;3,256829862
C4A1060;3,478766567
C4A1074;2,474979713
C4A1037;2,242493914
C4A1031;2,407627806
C4A1080;2,520827698
C4A1057;3,127400595
C4A1041;11,78861239
C4A1022;2,280632946
C4A1021;2,762239654
C4A1038;2,423451447
C4A1086;2,296456586
C4A1090;2,849295407
C4A1058;2,533811198
C4A1015;2,388964025
C4A1082;2,754124966
C4A1062;4,403029483
C4A1048;3,208953205
C4A1036;1,598593454
C4A1063;2,53949148
C4A1076;1,930078442
C4A1059;3,155401879
C4A1023;2,226670273
C4A1050;4,020827698
C4A1034;2,977278875
C4A1075;2,894509061
C4A1035;4,049229105
C4A1096;2,56545848
C4A1069;2,742764404
C4A1043;2,380849337
C4A1055;2,670543684
C4A1029;2,544754697
C4A1095;1,838788207
C4A1960;1,663916689
C4A1907;2,700568028
C4A1948;3,570868272
C4A1912;2,404618998
C4A1969;4,824993238
C4A1910;9,430078442
AD2;2,996781392
AD1;4,164749807
AD4;1,857007982
CS39625;2,817569307
CS39635;2,556862072
CS39647;1,532958544
CS39629;5,470603382
CS39602;2,642219552
CS39646;1,686293022
CS39621;2,812934512
CS39604;3,719809458
CS39601;3,092180929
CS39650;1,410522702
CS39632;2,348296284
CS39626;3,184876835
CS39640;3,102222985
CS39649;2,113852888
CS39642;2,890567333
CS39628;2,573470088
CS39637;2,710969016
CS39607;2,986739336
CS39603;3,420865162
CS39617;2,053600549
CS39633;3,010299545
CS39616;2,960861729
CS39631;4,841816153
CS39619;2,801347524
CS39608;2,372242726
CS39627;12,15822676
CS39620;2,888636169
CS39648;2,591236804
CS39630;5,926744485
CS39634;2,831473693
CS39638;2,249806884
CS39623;2,998326324
CS39643;3,615140331
CS39641;2,039696163
CS39645;2,604368724
CS39609;2,063642606
CS39606;2,031585272
C3071;1,972491632
C3056;4,725173805
C3018;4,121491717
C4A1919;3,34284555
C4A1949;4,002975385
C4A1933;2,123956159
C4A1922;3,174465783
AD3;7,254958246
CS39636;4,330114823
C3024;2,571372651
C4A1024;2,492693111
